id,type,emne,navn,beskrivelse,avhenger_av,hjelpemiddel,instruks
generalisere-monster-med-ord-og-algebra,ferdighet,Algebra og mønstre,Generalisere et mønster algebraisk,"Eleven kan generalisere et mønster med egne ord og som et algebraisk uttrykk for ledd nummer n.",utforske-og-fortsette-monster,,"Gi eleven et mønster (tall- eller figurmønster) og be dem først forklare med egne ord hvordan man kommer fra ett ledd til det neste, og deretter sette opp et algebraisk uttrykk for antall (eller verdien til) ledd n. Be dem vise at uttrykket stemmer for et av de kjente leddene."
variabel-og-konstant-begrep,begrep,Algebra og mønstre,Variabel og konstant,"Eleven vet hva en variabel og en konstant er i et regneuttrykk, og kan skille mellom dem.",,,
lage-regneuttrykk-fra-praktisk-situasjon,ferdighet,Algebra og mønstre,Lage et regneuttrykk fra en praktisk situasjon,"Eleven kan lage og forklare et regneuttrykk med tall, variabler og konstanter ut fra en praktisk situasjon.",variabel-og-konstant-begrep,,"Gi eleven en praktisk situasjon med en fast del og en del som avhenger av en ukjent mengde (f.eks. en inngangspris pluss en pris per person i en gruppe), og be dem sette opp et regneuttrykk med en variabel som beskriver totalprisen, og forklare hva variabelen og konstanten står for."
ledd-begrep,begrep,Algebra og mønstre,Ledd,"Eleven vet hva et ledd er i et regneuttrykk: en del av uttrykket som er atskilt fra resten med et pluss- eller minustegn, og kan peke ut leddene i et gitt uttrykk.",variabel-og-konstant-begrep,,
forenkle-algebraiske-uttrykk,ferdighet,Algebra og mønstre,Forenkle algebraiske uttrykk,"Eleven kan forenkle et algebraisk uttrykk ved å trekke sammen like ledd og bruke den distributive egenskapen til å multiplisere inn i en parentes.",ledd-begrep;regneregler-kommutativ-assosiativ-distributiv-begrep,,"Gi eleven algebraiske uttrykk som skal forenkles (f.eks. 3x + 5 - x + 2, eller 2(x+4) - 3x), og be dem trekke sammen like ledd og gange ut parenteser, og vise hvert steg."
ligning-begrep,begrep,Algebra og mønstre,Ligning,"Eleven vet hva en ligning er, og hva det vil si å løse en ligning: finne verdien av den ukjente som gjør likheten sann.",variabel-og-konstant-begrep,,
lose-enkel-ligning,ferdighet,Algebra og mønstre,Løse en enkel ligning,"Eleven kan løse en enkel ligning med én ukjent ved å utføre den samme operasjonen på begge sider av likhetstegnet.",ligning-begrep,,"Gi eleven enkle ligninger med én ukjent (f.eks. 3x + 5 = 20, eller x/4 - 2 = 3) og be dem løse dem for hånd, og vise hvert steg med samme operasjon utført på begge sider."
lage-og-lose-ligning-praktisk,ferdighet,Algebra og mønstre,Lage og løse en ligning fra en praktisk situasjon,"Eleven kan lage og løse en ligning ut fra en praktisk situasjon, og kritisk vurdere om løsningen gir mening i konteksten.",lose-enkel-ligning;lage-regneuttrykk-fra-praktisk-situasjon,,"Gi eleven en praktisk tekstoppgave der en ukjent størrelse kan finnes ved å sette opp og løse en ligning (f.eks. hvor mange uker noen må spare for å ha nok penger til noe), og be dem sette opp ligningen, løse den, og vurdere om svaret er rimelig i konteksten (f.eks. om det bør rundes opp)."
ulikhet-begrep,begrep,Algebra og mønstre,Ulikhet,"Eleven vet hva en ulikhet er, og hvordan løsningen av en ulikhet skiller seg fra løsningen av en ligning: løsningen er som regel et helt intervall av tall, ikke ett enkelt tall.",ligning-begrep,,
lose-ulikhet,ferdighet,Algebra og mønstre,Løse en enkel ulikhet,"Eleven kan løse en enkel ulikhet med én ukjent, og vet at ulikhetstegnet snur når man multipliserer eller dividerer begge sider med et negativt tall.",ulikhet-begrep;lose-enkel-ligning,,"Gi eleven enkle ulikheter (f.eks. 2x + 3 > 11, og en der begge sider må ganges med et negativt tall, f.eks. -3x < 12) og be dem løse dem for hånd og skrive løsningen som et intervall. Be dem spesielt legge merke til når ulikhetstegnet må snu."
vurdere-gyldighet-losning-ulikhet,ferdighet,Algebra og mønstre,Vurdere gyldigheten av løsningen på en ulikhet,"Eleven kan vurdere om løsningen av en ulikhet fra en praktisk situasjon er gyldig, f.eks. om alle tallene i løsningsintervallet faktisk gir mening i konteksten.",lose-ulikhet,,"Gi eleven en praktisk situasjon som leder til en ulikhet (f.eks. hvor mange billetter man maksimalt har råd til), og be dem løse ulikheten og deretter vurdere hvilke av tallene i løsningsintervallet som faktisk er mulige svar i den praktiske situasjonen (f.eks. bare hele, positive antall)."
funksjon-begrep-8,begrep,Funksjoner,Funksjon,"Eleven vet hva en funksjon er: en sammenheng der hver x-verdi gir nøyaktig én y-verdi.",variabel-og-konstant-begrep,,
koordinatsystem-begrep,begrep,Funksjoner,Koordinatsystem,"Eleven vet hva et koordinatsystem er: en x-akse og en y-akse som står vinkelrett på hverandre, og kan plassere og lese av punkter gitt som et tallpar (x, y).",,,
representere-funksjon-tabell-graf,ferdighet,Funksjoner,Lage tabell og graf for en funksjon,"Eleven kan lage en verditabell for en enkel funksjon, og bruke tabellen til å tegne grafen i et koordinatsystem.",funksjon-begrep-8;koordinatsystem-begrep,,"Gi eleven et enkelt funksjonsuttrykk (f.eks. y = 2x + 1) og be dem fylle ut en verditabell for noen x-verdier, og deretter tegne grafen i et koordinatsystem ut fra tabellen."
lese-av-graf,ferdighet,Funksjoner,Lese av verdier fra en graf,"Eleven kan lese av funksjonsverdier fra en graf, og finne x-verdien(e) som gir en bestemt y-verdi.",representere-funksjon-tabell-graf,,"Vis eleven en graf fra en praktisk situasjon (f.eks. en pris som funksjon av antall varer) og be dem lese av y-verdien for en gitt x-verdi, og omvendt finne x-verdien(e) som gir en bestemt y-verdi."
sammenheng-mellom-representasjoner,ferdighet,Funksjoner,"Se sammenhengen mellom situasjon, tabell, graf og uttrykk","Eleven kan gå mellom de fire representasjonene av en funksjon (praktisk situasjon, tabell, graf og uttrykk), og forklare hvordan de henger sammen.",lese-av-graf;generalisere-monster-med-ord-og-algebra,,"Gi eleven én representasjon av en funksjon (f.eks. en kort tekstsituasjon) og be dem lage de tre andre representasjonene (tabell, graf, uttrykk) ut fra den, og forklare hvordan et bestemt tall i teksten kan gjenkjennes i hver av de andre representasjonene."
sammenligne-funksjoner-fra-praktisk-situasjon,ferdighet,Funksjoner,Sammenligne to funksjoner fra praktiske situasjoner,"Eleven kan sammenligne to funksjoner fra praktiske situasjoner, f.eks. to ulike prisavtaler, ved å sammenligne grafene eller tabellene deres.",sammenheng-mellom-representasjoner,,"Gi eleven to praktiske tilbud beskrevet med tekst (f.eks. to ulike abonnement med forskjellig fast pris og pris per enhet) og be dem sette opp funksjonsuttrykk eller tabeller for begge, sammenligne dem, og si når hvert av tilbudene lønner seg."
algoritme-begrep,begrep,Programmering,Algoritme,"Eleven vet hva en algoritme er: en presis, steg-for-steg beskrivelse av hvordan et problem løses.",,,
lage-enkel-algoritme-praktisk,ferdighet,Programmering,Lage en enkel algoritme for et praktisk problem,"Eleven kan skape en enkel algoritme for å løse et praktisk problem, ved å bruke variabler og enkle kommandoer i et programmeringsspråk eller i blokkprogrammering.",algoritme-begrep;variabel-og-konstant-begrep,,"Gi eleven et enkelt praktisk problem (f.eks. å regne ut summen av tallene fra 1 til et oppgitt tall, eller å avgjøre om et tall er partall) og be dem lage en algoritme (som pseudokode, blokkprogrammering eller enkel Python-kode) som løser problemet."
teste-og-forbedre-algoritme,ferdighet,Programmering,Teste og forbedre en algoritme,"Eleven kan teste en algoritme med ulike inndata, oppdage feil eller svakheter, og forbedre algoritmen slik at den fungerer som tiltenkt.",lage-enkel-algoritme-praktisk,,"Gi eleven en algoritme (egen eller ferdig laget) sammen med noen testtilfeller, inkludert minst ett tilfelle der algoritmen gir feil eller uventet svar, og be dem finne feilen og foreslå og teste en forbedring."
